"Gene_ID","GSE24455","GSE63183","Dataset_Count"
4311,"Yes","Yes",2
4329,"Yes","Yes",2
4481,"Yes","Yes",2
4482,"Yes","Yes",2
4494,"Yes","Yes",2
4495,"Yes","Yes",2
4515,"Yes","Yes",2
4519,"Yes","Yes",2
4521,"Yes","Yes",2
4535,"Yes","Yes",2
4584,"Yes","Yes",2
4594,"Yes","Yes",2
4634,"Yes","Yes",2
4648,"Yes","Yes",2
4719,"Yes","Yes",2
4745,"Yes","Yes",2
4794,"Yes","Yes",2
4803,"Yes","Yes",2
4828,"Yes","Yes",2
4837,"Yes","Yes",2
4842,"Yes","Yes",2
4854,"Yes","Yes",2
4883,"Yes","Yes",2
4886,"Yes","Yes",2
4915,"Yes","Yes",2
5019,"Yes","Yes",2
5037,"Yes","Yes",2
5046,"Yes","Yes",2
5053,"Yes","Yes",2
5064,"Yes","Yes",2
5069,"Yes","Yes",2
5095,"Yes","Yes",2
5101,"Yes","Yes",2
5104,"Yes","Yes",2
5105,"Yes","Yes",2
5106,"Yes","Yes",2
5174,"Yes","Yes",2
5184,"Yes","Yes",2
5208,"Yes","Yes",2
5210,"Yes","Yes",2
5214,"Yes","Yes",2
5228,"Yes","Yes",2
5264,"Yes","Yes",2
5265,"Yes","Yes",2
5284,"Yes","Yes",2
5288,"Yes","Yes",2
5313,"Yes","Yes",2
5314,"Yes","Yes",2
5334,"Yes","Yes",2
5340,"Yes","Yes",2
5341,"Yes","Yes",2
5352,"Yes","Yes",2
5355,"Yes","Yes",2
5507,"Yes","Yes",2
5590,"Yes","Yes",2
5596,"Yes","Yes",2
5618,"Yes","Yes",2
5624,"Yes","Yes",2
5629,"Yes","Yes",2
5639,"Yes","Yes",2
5650,"Yes","Yes",2
5698,"Yes","Yes",2
5699,"Yes","Yes",2
5724,"Yes","Yes",2
5730,"Yes","Yes",2
5731,"Yes","Yes",2
5733,"Yes","Yes",2
5738,"Yes","Yes",2
5744,"Yes","Yes",2
5745,"Yes","Yes",2
5746,"Yes","Yes",2
5768,"Yes","Yes",2
5789,"Yes","Yes",2
5800,"Yes","Yes",2
5820,"Yes","Yes",2
5827,"Yes","Yes",2
5833,"Yes","Yes",2
5836,"Yes","Yes",2
5860,"Yes","Yes",2
5880,"Yes","Yes",2
5912,"Yes","Yes",2
5919,"Yes","Yes",2
5954,"Yes","Yes",2
5973,"Yes","Yes",2
6134,"Yes","Yes",2
6158,"Yes","Yes",2
6173,"Yes","Yes",2
6175,"Yes","Yes",2
6187,"Yes","Yes",2
6223,"Yes","Yes",2
6236,"Yes","Yes",2
6273,"Yes","Yes",2
6281,"Yes","Yes",2
6296,"Yes","Yes",2
6319,"Yes","Yes",2
6332,"Yes","Yes",2
6338,"Yes","Yes",2
6340,"Yes","Yes",2
6404,"Yes","Yes",2
6422,"Yes","Yes",2
6456,"Yes","Yes",2
6470,"Yes","Yes",2
6492,"Yes","Yes",2
6493,"Yes","Yes",2
6509,"Yes","Yes",2
6513,"Yes","Yes",2
6514,"Yes","Yes",2
6515,"Yes","Yes",2
6519,"Yes","Yes",2
6521,"Yes","Yes",2
6524,"Yes","Yes",2
6549,"Yes","Yes",2
6555,"Yes","Yes",2
6557,"Yes","Yes",2
6559,"Yes","Yes",2
6561,"Yes","Yes",2
6565,"Yes","Yes",2
6569,"Yes","Yes",2
6581,"Yes","Yes",2
6624,"Yes","Yes",2
6649,"Yes","Yes",2
6652,"Yes","Yes",2
6676,"Yes","Yes",2
6712,"Yes","Yes",2
6854,"Yes","Yes",2
6892,"Yes","Yes",2
6913,"Yes","Yes",2
6943,"Yes","Yes",2
7010,"Yes","Yes",2
7021,"Yes","Yes",2
7039,"Yes","Yes",2
7040,"Yes","Yes",2
7045,"Yes","Yes",2
7052,"Yes","Yes",2
7058,"Yes","Yes",2
7076,"Yes","Yes",2
7103,"Yes","Yes",2
7108,"Yes","Yes",2
7113,"Yes","Yes",2
7130,"Yes","Yes",2
7134,"Yes","Yes",2
7135,"Yes","Yes",2
7139,"Yes","Yes",2
7153,"Yes","Yes",2
7226,"Yes","Yes",2
7293,"Yes","Yes",2
7301,"Yes","Yes",2
7305,"Yes","Yes",2
7306,"Yes","Yes",2
7364,"Yes","Yes",2
7369,"Yes","Yes",2
7421,"Yes","Yes",2
7422,"Yes","Yes",2
7429,"Yes","Yes",2
7431,"Yes","Yes",2
7450,"Yes","Yes",2
7512,"Yes","Yes",2
7780,"Yes","Yes",2
7805,"Yes","Yes",2
7809,"Yes","Yes",2
7827,"Yes","Yes",2
7837,"Yes","Yes",2
7846,"Yes","Yes",2
7852,"Yes","Yes",2
7903,"Yes","Yes",2
8029,"Yes","Yes",2
8082,"Yes","Yes",2
8309,"Yes","Yes",2
8416,"Yes","Yes",2
8424,"Yes","Yes",2
8529,"Yes","Yes",2
8542,"Yes","Yes",2
8614,"Yes","Yes",2
8635,"Yes","Yes",2
8645,"Yes","Yes",2
8659,"Yes","Yes",2
8671,"Yes","Yes",2
8714,"Yes","Yes",2
8728,"Yes","Yes",2
8744,"Yes","Yes",2
8801,"Yes","Yes",2
8802,"Yes","Yes",2
8828,"Yes","Yes",2
8854,"Yes","Yes",2
8862,"Yes","Yes",2
8934,"Yes","Yes",2
8991,"Yes","Yes",2
8996,"Yes","Yes",2
9056,"Yes","Yes",2
9058,"Yes","Yes",2
9066,"Yes","Yes",2
9068,"Yes","Yes",2
9073,"Yes","Yes",2
9099,"Yes","Yes",2
9123,"Yes","Yes",2
9124,"Yes","Yes",2
9168,"Yes","Yes",2
9173,"Yes","Yes",2
9180,"Yes","Yes",2
9232,"Yes","Yes",2
9242,"Yes","Yes",2
9356,"Yes","Yes",2
9358,"Yes","Yes",2
9365,"Yes","Yes",2
9376,"Yes","Yes",2
9450,"Yes","Yes",2
9473,"Yes","Yes",2
9476,"Yes","Yes",2
9507,"Yes","Yes",2
9514,"Yes","Yes",2
9537,"Yes","Yes",2
9636,"Yes","Yes",2
9673,"Yes","Yes",2
9727,"Yes","Yes",2
9762,"Yes","Yes",2
9770,"Yes","Yes",2
9806,"Yes","Yes",2
9914,"Yes","Yes",2
9970,"Yes","Yes",2
9976,"Yes","Yes",2
9990,"Yes","Yes",2
10076,"Yes","Yes",2
10095,"Yes","Yes",2
10123,"Yes","Yes",2
10157,"Yes","Yes",2
10158,"Yes","Yes",2
10178,"Yes","Yes",2
10184,"Yes","Yes",2
10243,"Yes","Yes",2
10247,"Yes","Yes",2
10249,"Yes","Yes",2
10287,"Yes","Yes",2
10312,"Yes","Yes",2
10346,"Yes","Yes",2
10376,"Yes","Yes",2
10411,"Yes","Yes",2
10451,"Yes","Yes",2
10457,"Yes","Yes",2
10458,"Yes","Yes",2
10549,"Yes","Yes",2
10578,"Yes","Yes",2
10610,"Yes","Yes",2
10615,"Yes","Yes",2
10616,"Yes","Yes",2
10644,"Yes","Yes",2
10655,"Yes","Yes",2
10669,"Yes","Yes",2
10686,"Yes","Yes",2
10749,"Yes","Yes",2
10752,"Yes","Yes",2
10769,"Yes","Yes",2
10783,"Yes","Yes",2
10840,"Yes","Yes",2
10841,"Yes","Yes",2
10848,"Yes","Yes",2
10891,"Yes","Yes",2
10901,"Yes","Yes",2
10954,"Yes","Yes",2
11001,"Yes","Yes",2
11006,"Yes","Yes",2
11098,"Yes","Yes",2
11136,"Yes","Yes",2
11151,"Yes","Yes",2
11156,"Yes","Yes",2
11167,"Yes","Yes",2
11170,"Yes","Yes",2
11178,"Yes","Yes",2
11181,"Yes","Yes",2
11314,"Yes","Yes",2
11346,"Yes","Yes",2
22837,"Yes","Yes",2
22846,"Yes","Yes",2
22874,"Yes","Yes",2
22885,"Yes","Yes",2
22925,"Yes","Yes",2
22927,"Yes","Yes",2
22974,"Yes","Yes",2
22977,"Yes","Yes",2
23078,"Yes","Yes",2
23129,"Yes","Yes",2
23171,"Yes","Yes",2
23228,"Yes","Yes",2
23231,"Yes","Yes",2
23255,"Yes","Yes",2
23327,"Yes","Yes",2
23341,"Yes","Yes",2
23428,"Yes","Yes",2
23464,"Yes","Yes",2
23475,"Yes","Yes",2
23480,"Yes","Yes",2
23551,"Yes","Yes",2
23612,"Yes","Yes",2
23643,"Yes","Yes",2
23710,"Yes","Yes",2
25845,"Yes","Yes",2
25849,"Yes","Yes",2
25873,"Yes","Yes",2
25903,"Yes","Yes",2
25928,"Yes","Yes",2
26007,"Yes","Yes",2
26027,"Yes","Yes",2
26051,"Yes","Yes",2
26227,"Yes","Yes",2
26228,"Yes","Yes",2
26275,"Yes","Yes",2
26287,"Yes","Yes",2
26508,"Yes","Yes",2
27124,"Yes","Yes",2
27134,"Yes","Yes",2
27253,"Yes","Yes",2
27254,"Yes","Yes",2
27283,"Yes","Yes",2
27294,"Yes","Yes",2
27299,"Yes","Yes",2
27344,"Yes","Yes",2
27350,"Yes","Yes",2
28970,"Yes","Yes",2
28999,"Yes","Yes",2
29842,"Yes","Yes",2
29923,"Yes","Yes",2
29958,"Yes","Yes",2
29968,"Yes","Yes",2
30846,"Yes","Yes",2
50507,"Yes","Yes",2
50509,"Yes","Yes",2
50515,"Yes","Yes",2
50615,"Yes","Yes",2
50617,"Yes","Yes",2
50861,"Yes","Yes",2
51084,"Yes","Yes",2
51109,"Yes","Yes",2
51129,"Yes","Yes",2
51179,"Yes","Yes",2
51181,"Yes","Yes",2
51192,"Yes","Yes",2
51268,"Yes","Yes",2
51284,"Yes","Yes",2
51302,"Yes","Yes",2
51303,"Yes","Yes",2
51393,"Yes","Yes",2
51449,"Yes","Yes",2
51458,"Yes","Yes",2
51473,"Yes","Yes",2
51559,"Yes","Yes",2
51655,"Yes","Yes",2
51703,"Yes","Yes",2
51705,"Yes","Yes",2
51751,"Yes","Yes",2
53354,"Yes","Yes",2
53405,"Yes","Yes",2
54097,"Yes","Yes",2
54209,"Yes","Yes",2
54437,"Yes","Yes",2
54566,"Yes","Yes",2
54567,"Yes","Yes",2
54657,"Yes","Yes",2
54658,"Yes","Yes",2
54756,"Yes","Yes",2
54762,"Yes","Yes",2
54769,"Yes","Yes",2
54810,"Yes","Yes",2
54836,"Yes","Yes",2
54845,"Yes","Yes",2
54852,"Yes","Yes",2
54886,"Yes","Yes",2
54897,"Yes","Yes",2
54972,"Yes","Yes",2
54996,"Yes","Yes",2
55224,"Yes","Yes",2
55240,"Yes","Yes",2
55281,"Yes","Yes",2
55321,"Yes","Yes",2
55349,"Yes","Yes",2
55366,"Yes","Yes",2
55449,"Yes","Yes",2
55526,"Yes","Yes",2
55536,"Yes","Yes",2
55586,"Yes","Yes",2
55600,"Yes","Yes",2
55630,"Yes","Yes",2
55723,"Yes","Yes",2
55753,"Yes","Yes",2
55840,"Yes","Yes",2
55867,"Yes","Yes",2
55885,"Yes","Yes",2
56005,"Yes","Yes",2
56241,"Yes","Yes",2
56603,"Yes","Yes",2
56649,"Yes","Yes",2
56670,"Yes","Yes",2
56848,"Yes","Yes",2
56901,"Yes","Yes",2
56911,"Yes","Yes",2
56920,"Yes","Yes",2
56924,"Yes","Yes",2
56934,"Yes","Yes",2
56937,"Yes","Yes",2
57007,"Yes","Yes",2
57111,"Yes","Yes",2
57125,"Yes","Yes",2
57127,"Yes","Yes",2
57134,"Yes","Yes",2
57402,"Yes","Yes",2
57476,"Yes","Yes",2
57530,"Yes","Yes",2
57561,"Yes","Yes",2
57565,"Yes","Yes",2
57669,"Yes","Yes",2
57733,"Yes","Yes",2
57761,"Yes","Yes",2
58475,"Yes","Yes",2
58510,"Yes","Yes",2
59272,"Yes","Yes",2
59345,"Yes","Yes",2
60401,"Yes","Yes",2
60676,"Yes","Yes",2
60681,"Yes","Yes",2
63976,"Yes","Yes",2
64081,"Yes","Yes",2
64084,"Yes","Yes",2
64098,"Yes","Yes",2
64108,"Yes","Yes",2
64220,"Yes","Yes",2
64231,"Yes","Yes",2
64333,"Yes","Yes",2
64344,"Yes","Yes",2
64478,"Yes","Yes",2
64849,"Yes","Yes",2
64866,"Yes","Yes",2
64902,"Yes","Yes",2
65266,"Yes","Yes",2
65997,"Yes","Yes",2
78989,"Yes","Yes",2
79153,"Yes","Yes",2
79170,"Yes","Yes",2
79365,"Yes","Yes",2
79442,"Yes","Yes",2
79626,"Yes","Yes",2
79679,"Yes","Yes",2
79690,"Yes","Yes",2
79709,"Yes","Yes",2
79742,"Yes","Yes",2
79746,"Yes","Yes",2
79762,"Yes","Yes",2
79785,"Yes","Yes",2
79814,"Yes","Yes",2
79850,"Yes","Yes",2
79861,"Yes","Yes",2
79888,"Yes","Yes",2
79930,"Yes","Yes",2
79944,"Yes","Yes",2
79966,"Yes","Yes",2
79971,"Yes","Yes",2
79981,"Yes","Yes",2
80031,"Yes","Yes",2
80036,"Yes","Yes",2
80144,"Yes","Yes",2
80157,"Yes","Yes",2
80301,"Yes","Yes",2
80303,"Yes","Yes",2
80307,"Yes","Yes",2
80344,"Yes","Yes",2
80381,"Yes","Yes",2
80758,"Yes","Yes",2
80774,"Yes","Yes",2
81033,"Yes","Yes",2
81553,"Yes","Yes",2
81693,"Yes","Yes",2
81831,"Yes","Yes",2
83478,"Yes","Yes",2
83543,"Yes","Yes",2
83648,"Yes","Yes",2
83660,"Yes","Yes",2
83697,"Yes","Yes",2
83706,"Yes","Yes",2
83715,"Yes","Yes",2
83876,"Yes","Yes",2
83953,"Yes","Yes",2
84217,"Yes","Yes",2
84275,"Yes","Yes",2
84417,"Yes","Yes",2
84440,"Yes","Yes",2
84706,"Yes","Yes",2
84803,"Yes","Yes",2
84816,"Yes","Yes",2
84952,"Yes","Yes",2
85028,"Yes","Yes",2
87769,"Yes","Yes",2
89797,"Yes","Yes",2
90161,"Yes","Yes",2
91319,"Yes","Yes",2
91522,"Yes","Yes",2
91750,"Yes","Yes",2
92211,"Yes","Yes",2
92292,"Yes","Yes",2
92558,"Yes","Yes",2
92737,"Yes","Yes",2
93109,"Yes","Yes",2
112399,"Yes","Yes",2
112464,"Yes","Yes",2
112609,"Yes","Yes",2
112817,"Yes","Yes",2
113277,"Yes","Yes",2
113278,"Yes","Yes",2
114088,"Yes","Yes",2
114815,"Yes","Yes",2
115111,"Yes","Yes",2
115273,"Yes","Yes",2
115908,"Yes","Yes",2
116085,"Yes","Yes",2
116832,"Yes","Yes",2
118471,"Yes","Yes",2
118980,"Yes","Yes",2
120071,"Yes","Yes",2
120939,"Yes","Yes",2
121506,"Yes","Yes",2
123688,"Yes","Yes",2
123876,"Yes","Yes",2
123920,"Yes","Yes",2
124222,"Yes","Yes",2
124935,"Yes","Yes",2
124975,"Yes","Yes",2
125061,"Yes","Yes",2
126382,"Yes","Yes",2
126695,"Yes","Yes",2
127124,"Yes","Yes",2
127262,"Yes","Yes",2
128239,"Yes","Yes",2
130013,"Yes","Yes",2
130589,"Yes","Yes",2
130733,"Yes","Yes",2
132158,"Yes","Yes",2
133121,"Yes","Yes",2
133308,"Yes","Yes",2
133688,"Yes","Yes",2
134147,"Yes","Yes",2
134265,"Yes","Yes",2
134288,"Yes","Yes",2
135112,"Yes","Yes",2
135892,"Yes","Yes",2
138046,"Yes","Yes",2
140462,"Yes","Yes",2
143662,"Yes","Yes",2
144193,"Yes","Yes",2
145226,"Yes","Yes",2
145407,"Yes","Yes",2
146325,"Yes","Yes",2
146556,"Yes","Yes",2
146802,"Yes","Yes",2
148252,"Yes","Yes",2
148808,"Yes","Yes",2
148811,"Yes","Yes",2
149461,"Yes","Yes",2
149466,"Yes","Yes",2
149563,"Yes","Yes",2
150696,"Yes","Yes",2
151556,"Yes","Yes",2
152007,"Yes","Yes",2
152404,"Yes","Yes",2
152573,"Yes","Yes",2
153201,"Yes","Yes",2
153328,"Yes","Yes",2
153572,"Yes","Yes",2
153768,"Yes","Yes",2
153830,"Yes","Yes",2
154091,"Yes","Yes",2
155006,"Yes","Yes",2
157313,"Yes","Yes",2
157983,"Yes","Yes",2
159963,"Yes","Yes",2
169026,"Yes","Yes",2
169611,"Yes","Yes",2
192668,"Yes","Yes",2
196051,"Yes","Yes",2
197257,"Yes","Yes",2
199731,"Yes","Yes",2
201931,"Yes","Yes",2
202151,"Yes","Yes",2
203447,"Yes","Yes",2
219699,"Yes","Yes",2
219855,"Yes","Yes",2
219972,"Yes","Yes",2
220108,"Yes","Yes",2
220441,"Yes","Yes",2
220963,"Yes","Yes",2
222166,"Yes","Yes",2
222962,"Yes","Yes",2
245972,"Yes","Yes",2
245973,"Yes","Yes",2
253012,"Yes","Yes",2
254050,"Yes","Yes",2
254295,"Yes","Yes",2
255189,"Yes","Yes",2
255743,"Yes","Yes",2
255877,"Yes","Yes",2
256435,"Yes","Yes",2
256764,"Yes","Yes",2
257106,"Yes","Yes",2
257629,"Yes","Yes",2
260425,"Yes","Yes",2
266977,"Yes","Yes",2
283140,"Yes","Yes",2
283234,"Yes","Yes",2
283358,"Yes","Yes",2
283375,"Yes","Yes",2
283659,"Yes","Yes",2
283848,"Yes","Yes",2
284252,"Yes","Yes",2
284273,"Yes","Yes",2
284422,"Yes","Yes",2
284541,"Yes","Yes",2
285596,"Yes","Yes",2
286256,"Yes","Yes",2
338094,"Yes","Yes",2
338382,"Yes","Yes",2
339105,"Yes","Yes",2
339983,"Yes","Yes",2
340024,"Yes","Yes",2
340348,"Yes","Yes",2
341640,"Yes","Yes",2
342527,"Yes","Yes",2
342979,"Yes","Yes",2
345557,"Yes","Yes",2
347733,"Yes","Yes",2
348158,"Yes","Yes",2
374655,"Yes","Yes",2
378708,"Yes","Yes",2
388323,"Yes","Yes",2
388387,"Yes","Yes",2
388595,"Yes","Yes",2
389015,"Yes","Yes",2
389434,"Yes","Yes",2
399726,"Yes","Yes",2
404201,"Yes","Yes",2
404266,"Yes","Yes",2
414328,"Yes","Yes",2
440335,"Yes","Yes",2
440556,"Yes","Yes",2
440590,"Yes","Yes",2
440836,"Yes","Yes",2
441168,"Yes","Yes",2
441951,"Yes","Yes",2
493869,"Yes","Yes",2
541471,"Yes","Yes",2
554235,"Yes","Yes",2
613212,"Yes","Yes",2
641649,"Yes","Yes",2
643008,"Yes","Yes",2
643236,"Yes","Yes",2
100130691,"Yes","Yes",2
100131213,"Yes","Yes",2
100170765,"Yes","Yes",2
100233209,"Yes","Yes",2
100505967,"Yes","Yes",2
100506211,"Yes","Yes",2
100506385,"Yes","Yes",2
100506403,"Yes","Yes",2
100506444,"Yes","Yes",2
100507027,"Yes","Yes",2
100507127,"Yes","Yes",2
100507650,"Yes","Yes",2
100862662,"Yes","Yes",2
101928820,"Yes","Yes",2
101929023,"Yes","Yes",2
101929335,"Yes","Yes",2
102723548,"Yes","Yes",2
106614088,"Yes","Yes",2
106821730,"Yes","Yes",2
124903372,"Yes","Yes",2
124903827,"Yes","Yes",2
124905021,"Yes","Yes",2
1,"No","Yes",1
9,"Yes","No",1
19,"Yes","No",1
20,"Yes","No",1
26,"Yes","No",1
28,"Yes","No",1
30,"No","Yes",1
32,"No","Yes",1
39,"Yes","No",1
47,"Yes","No",1
51,"Yes","No",1
59,"Yes","No",1
60,"Yes","No",1
70,"Yes","No",1
93,"Yes","No",1
94,"Yes","No",1
98,"Yes","No",1
100,"No","Yes",1
102,"Yes","No",1
109,"Yes","No",1
114,"No","Yes",1
123,"Yes","No",1
128,"No","Yes",1
132,"Yes","No",1
141,"Yes","No",1
151,"No","Yes",1
153,"Yes","No",1
165,"No","Yes",1
173,"No","Yes",1
174,"No","Yes",1
176,"No","Yes",1
181,"No","Yes",1
182,"Yes","No",1
191,"Yes","No",1
196,"Yes","No",1
211,"Yes","No",1
217,"Yes","No",1
220,"No","Yes",1
223,"Yes","No",1
230,"No","Yes",1
241,"Yes","No",1
267,"Yes","No",1
274,"Yes","No",1
292,"Yes","No",1
301,"Yes","No",1
302,"Yes","No",1
306,"No","Yes",1
307,"Yes","No",1
325,"No","Yes",1
327,"Yes","No",1
332,"No","Yes",1
338,"No","Yes",1
345,"No","Yes",1
347,"Yes","No",1
355,"Yes","No",1
356,"Yes","No",1
358,"Yes","No",1
360,"Yes","No",1
363,"No","Yes",1
366,"No","Yes",1
368,"Yes","No",1
384,"No","Yes",1
391,"Yes","No",1
392,"Yes","No",1
402,"Yes","No",1
403,"Yes","No",1
409,"Yes","No",1
412,"Yes","No",1
416,"No","Yes",1
435,"Yes","No",1
440,"Yes","No",1
479,"No","Yes",1
488,"Yes","No",1
489,"Yes","No",1
493,"Yes","No",1
501,"Yes","No",1
523,"Yes","No",1
526,"Yes","No",1
528,"Yes","No",1
554,"No","Yes",1
563,"Yes","No",1
567,"Yes","No",1
573,"Yes","No",1
575,"No","Yes",1
581,"Yes","No",1
594,"Yes","No",1
595,"Yes","No",1
602,"No","Yes",1
617,"Yes","No",1
622,"Yes","No",1
624,"No","Yes",1
633,"No","Yes",1
634,"Yes","No",1
636,"Yes","No",1
639,"Yes","No",1
649,"Yes","No",1
650,"No","Yes",1
653,"Yes","No",1
654,"Yes","No",1
658,"Yes","No",1
671,"Yes","No",1
675,"Yes","No",1
678,"Yes","No",1
684,"No","Yes",1
706,"No","Yes",1
710,"No","Yes",1
715,"No","Yes",1
717,"No","Yes",1
726,"Yes","No",1
727,"Yes","No",1
729,"Yes","No",1
740,"Yes","No",1
744,"Yes","No",1
752,"No","Yes",1
753,"Yes","No",1
754,"Yes","No",1
757,"Yes","No",1
767,"Yes","No",1
768,"No","Yes",1
778,"Yes","No",1
788,"Yes","No",1
